index,rkna
0,1.032
1,1.005
2,
3,
4,
5,1.027
6,1.063
7,
8,1.041
9,1.050
10,1.105
11,1.135
12,1.054
13,1.200
14,1.223
15,
16,1.064
17,1.132
18,1.064
19,1.101
20,1.061
21,
22,1.053
23,1.110
24,1.022
25,0.943
26,
27,
28,1.122
29,1.055
30,1.045
31,1.050
32,1.079
33,1.182
34,1.222
35,1.110
36,
37,
38,1.081
39,
40,1.086
41,1.073
42,
43,1.089
44,1.035
45,1.045
46,1.038
47,1.187
48,
49,1.047
50,1.136
51,
52,1.062
53,1.137
54,1.037
55,1.077
56,
57,1.041
58,1.095
59,1.045
60,1.036
61,1.042
62,1.079
63,
64,1.049
65,
66,
67,
68,0.987
69,
70,1.052
71,
72,1.033
73,1.072
74,1.049
75,
76,1.083
77,1.130
78,1.136
79,1.238
80,1.011
81,1.059
82,1.042
83,1.087
84,1.019
85,1.023
86,1.089
87,1.020
88,1.091
89,1.090
90,1.124
91,
92,
93,1.075
94,1.149
95,1.174
96,1.061
97,
98,
99,1.112
100,1.104
101,1.079
102,1.051
103,1.042
104,1.072
105,1.086
106,1.064
107,
108,
109,1.040
110,1.100
111,
112,1.071
113,
114,
115,1.111
116,1.335
117,1.044
118,
119,1.077
120,
121,1.103
122,1.035
123,1.119
124,1.048
125,1.026
126,1.037
127,1.061
128,
129,1.076
130,1.096
131,
132,1.185
133,1.086
134,1.180
135,1.090
136,1.033
137,1.093
138,
139,1.172
140,1.074
141,1.022
142,1.246
143,1.083
144,1.011
145,1.165
146,1.082
147,0.997
148,
149,1.063
150,0.953
151,1.055
152,1.053
153,1.037
154,1.051
155,1.032
156,
157,
158,
159,
160,1.077
161,1.099
162,1.073
163,1.018
164,
165,1.052
166,1.059
167,1.115
168,1.075
169,1.233
170,
171,1.026
172,1.026
173,1.046
174,1.338
175,
176,0.891
177,1.068
178,
179,
180,1.037
181,1.118
182,1.055
